t,input_ruxolitinib,Compound_4_Obs
35,0,30.7850003792632
35,0,36.6455902395038
35,10,28.4892630585497
35,10,32.2403028668854
35,10,32.4331626645859
35,10,38.1652372692275
35,50,28.6813613532497
35,100,27.985332642487
35,100,29.0623624450025
35,200,16.2078821885745
35,200,21.7084344374032
35,400,20.9576391007074
35,400,27.2622035961193
35,400,28.3986330053096
35,400,36.8841790086145
35,500,32.9438892249674
35,600,25.2982594094994
35,800,25.1105458219575
35,800,33.9401620626627
35,1000,35.8162236480409
35,1000,37.679304317861
35,2000,23.5195114275277
35,5000,32.390333917673
