t,input_il6,Compound_2_Obs
290,0.1,41.2186146071986
290,0.1,32.0299224410906
290,0.5,35.1419074749271
290,0.5,30.8241312455741
290,1,27.0501190335282
290,1,40.1763679549604
290,2.5,28.9008138350319
290,2.5,27.7401585925502
290,5,25.7183539630717
290,5,20.8496414079075
290,10,27.2428755505321
290,10,23.995022525872
290,25,7.69366035053058
290,25,27.5448018458649
290,50,28.8303758512514
290,50,30.7087002752018
290,100,11.553049954685
290,100,16.5393932173703
290,500,11.1341313799011
290,500,14.9143510775461
