t,input_il6,Compound_2_Obs
2600,0.1,26.3375742803956
2600,0.1,31.5096915618431
2600,0.5,29.9237074762606
2600,0.5,40.0342020415916
2600,1,27.6520161674046
2600,1,31.753182384138
2600,2.5,24.8962886021315
2600,2.5,31.5277059445047
2600,5,14.1225223478118
2600,5,23.2879406556407
2600,10,19.4970912889744
2600,10,22.2375196762321
2600,25,24.8803599524343
2600,25,25.7492409040172
2600,50,7.94123664626197
2600,50,31.4545868822988
2600,100,12.2494839419701
2600,100,17.6150550059041
2600,500,8.11255731341667
2600,500,17.4607341077848
