t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,103.32843032863,25.8478815116083,38.3451348944958,33.554362283996,-0.317136630720751
15,NaN,NaN,146.0204032916,35.116381966175,0.373711657798849
20,161.093257920945,14.4451897997789,NaN,NaN,NaN
30,NaN,NaN,153.8741736807,NaN,NaN
35,106.739409093258,15.1862175042216,NaN,26.8832496972408,1.47880722826819
45,NaN,NaN,138.430271983555,NaN,NaN
50,NaN,NaN,NaN,36.6248378938809,1.67714962324108
55,157.760275017451,22.9426388392544,NaN,NaN,NaN
65,NaN,NaN,107.975605454073,NaN,NaN
70,NaN,NaN,NaN,37.5832136522861,1.30112381205697
75,100.003219251908,NaN,NaN,NaN,NaN
80,NaN,7.91574461525918,NaN,NaN,NaN
85,NaN,NaN,78.8160186410799,NaN,NaN
95,NaN,NaN,NaN,31.6036404836194,1.26470965279459
100,110.978679760443,18.8933274123265,106.861273162991,29.9108988117361,1.2594441537654
150,116.869613701132,18.8784416502794,83.8891868951595,33.4920910104896,1.12112645686763
200,66.7189292700224,17.5375170202888,112.744428896554,31.8534547820131,0.735704943563584
250,142.023445007051,28.2233074779282,107.632762940908,32.610607090699,0.677701818096343
300,96.6717902301991,17.5881022877837,106.011224263321,33.1501263120387,1.20696113400883
350,90.0568668716065,13.6655389755226,77.0499395420555,NaN,NaN
