t,pEGFR_Obs,pEGFR_Akt_Obs,EGF_EGFR_Obs
0,0,1.19149455235586e-07,8364.53815728498
35,3894147.96711276,NaN,3752527.7439579
70,8262916.07865081,NaN,NaN
75,NaN,NaN,5124649.80216123
100,7530272.64385305,0.000489419615507206,2890292.60295215
150,4603016.65916106,NaN,1167939.27613624
200,2209108.0323185,NaN,879613.011220645
250,793356.873230182,0.000129541502535974,425842.850556436
300,538564.898814602,NaN,156778.933729382
350,262392.047841861,NaN,95041.4952581352
400,NaN,3.70276708133415e-05,NaN
450,44814.5228327202,NaN,33303.5372729785
500,NaN,NaN,17368.8288617724
550,11064.457024988,3.63524819599278e-06,NaN
600,NaN,NaN,9238.82639369594
650,6259.66887803924,NaN,NaN
750,NaN,1.25616558450701e-06,14850.3468382872
1000,NaN,1.18269660047565e-06,NaN
