t,pEGFR_Obs,pEGFR_Akt_Obs,EGF_EGFR_Obs
0,0,1.19783666695993e-07,746.901017173818
65,2304165.88519211,NaN,NaN
75,NaN,NaN,3090026.6058705
150,2482369.4791338,0.000338683547758797,1634467.62665984
200,1969401.26522111,NaN,NaN
250,NaN,NaN,643062.316647621
300,1112451.49875026,NaN,NaN
350,855523.903968805,0.00010819042669316,493223.812323376
450,453612.777329475,NaN,303462.150301226
500,NaN,5.85184254065865e-05,NaN
550,227857.826474895,NaN,175374.449432089
700,66487.0283272012,2.51381723070535e-05,100681.303253086
850,32762.2711050301,NaN,18187.2277593848
950,NaN,6.40065289210928e-06,NaN
1000,18537.3541246174,6.20401727316588e-06,12016.2938853307
1500,NaN,NaN,3019.90207850097
