t,pEGFR_Obs,pEGFR_Akt_Obs,EGF_EGFR_Obs
0,0,7.61166210696128e-08,876.965056147256
150,NaN,NaN,558877.218754925
200,771721.177893953,NaN,NaN
250,NaN,0.000194536742605697,NaN
300,NaN,NaN,392612.727258227
400,603197.020946917,NaN,NaN
500,NaN,NaN,333907.108991322
550,NaN,8.83529758994638e-05,NaN
600,270852.39072721,NaN,NaN
700,NaN,NaN,193076.959449956
800,133433.354826439,NaN,NaN
850,NaN,4.24993503391312e-05,NaN
900,NaN,NaN,62050.8908279524
1000,140971.882384086,2.78828671406898e-05,67767.4791790468
1500,13609.3302819822,6.67881420141262e-06,15240.5205690062
2000,4951.41131970399,2.55519916669115e-06,NaN
2500,3308.30193091546,1.13960089639607e-06,NaN
3000,2438.92906789548,3.94119097887939e-07,NaN
3500,1770.74649179741,7.71607638521326e-07,NaN
4000,NaN,5.71133587468139e-07,NaN
