t,pEGFR_Obs,pEGFR_Akt_Obs,EGF_EGFR_Obs
0,0,8.69466199799011e-08,1070.23415591693
150,NaN,NaN,230873.417565223
200,401116.345276238,NaN,NaN
250,NaN,0.00013285815915933,NaN
350,217922.464986846,NaN,200425.394309232
500,NaN,6.44345333883866e-05,NaN
550,242899.561788698,NaN,168310.392745232
750,123014.945611014,3.65816843254559e-05,NaN
800,NaN,NaN,77538.6781067505
1000,74395.8782503456,3.33348011080326e-05,78232.8351413074
1500,30092.7467443625,1.16536300682634e-05,21018.4757324625
2000,6573.0191717729,6.45281276758137e-06,NaN
2500,6152.64524894345,NaN,NaN
3000,2517.62895460814,NaN,NaN
3500,1415.43005221891,NaN,NaN
