t,pEGFR_Obs,pEGFR_Akt_Obs,EGF_EGFR_Obs
0,0,8.98697838362352e-08,11006.3171453255
30,NaN,NaN,11851975.8454247
35,7355389.40667597,NaN,NaN
60,NaN,NaN,7245028.28705891
75,9901621.47598724,0.000399153420637334,NaN
90,NaN,NaN,882984.250600335
100,4835850.11946853,NaN,NaN
150,1406854.65582232,0.000136795254203338,469514.511358925
200,552398.246851797,NaN,80626.5816600661
250,71041.6248383517,2.53565676209394e-05,39515.1316182257
300,37562.8682140404,NaN,20588.3514681992
350,8913.27591746508,2.36465666333655e-06,14041.5246574446
450,4001.19707625298,1.9201159742136e-06,13341.0351629926
500,NaN,NaN,7858.97907775
550,3787.06186993275,NaN,NaN
600,3408.15872912704,6.80850865283531e-07,NaN
700,NaN,1.24530255938254e-06,NaN
750,2599.73009616129,NaN,NaN
