timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.00584923007287462,0.00658145268706717,10.0114016225857
150,0.0468830149107919,NaN,NaN
350,0.0548048054037255,0.563000340303099,10.2796524663475
500,0.0745874536515933,NaN,NaN
700,0.11953971463364,1.59544835468783,NaN
750,NaN,NaN,10.0984209805235
950,0.160406284094049,NaN,NaN
1000,0.184404465402899,3.1659594828628,10.0844696631218
1500,0.308245193923907,5.12967997855821,9.34143347272568
2000,0.362070058029288,5.73305623411706,8.74499292974879
2500,0.422747690582141,5.54187354878158,6.90400171077498
3000,0.430501287425328,4.45541090973741,5.1083278333144
3500,NaN,4.31215723663621,4.46751889563203
4000,NaN,3.28546092246963,NaN
4500,NaN,NaN,3.61863040262183
5000,NaN,2.42903126860828,3.00376577255052
6000,NaN,2.3195659465988,2.76972131533943
7000,NaN,1.8352387422527,NaN
7500,NaN,NaN,1.58641858409485
8500,NaN,NaN,2.38942070055343
