timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0241124345254299,0.373929712260885,10.4742803931515
200,0.0438734869284362,NaN,NaN
400,0.0685170184979381,1.13235309457051,10.7858317825439
600,0.0928569314840429,NaN,NaN
800,0.121523423585159,2.81131145444914,9.40352862403824
1000,0.22001575575648,NaN,10.4612981651904
1500,0.363284796970321,5.30396754520427,9.65686031976138
2000,0.387109283409723,5.36329498372714,8.09267517530321
2500,0.479835087963476,5.17140408762246,6.02152985097166
3000,0.47475604465464,4.33861178089249,NaN
3500,0.494913545554413,3.67563631057499,3.91468560645807
4000,NaN,NaN,3.11319206581515
4500,NaN,2.66980056827866,NaN
5000,NaN,NaN,3.11624877529696
5500,NaN,2.20560309976633,NaN
6000,NaN,NaN,2.41937248556496
7000,NaN,1.9687320865314,1.23167521786679
8500,NaN,1.5223639171735,2.34632285563555
