timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0176071318353886,-0.126389481158933,10.1573515942733
400,0.0441761555524266,1.24158778057497,10.3431273748405
750,0.0638848227749176,NaN,NaN
800,NaN,2.24604556402853,NaN
850,NaN,NaN,9.83815932466899
1000,0.229486481201025,NaN,NaN
1500,0.310894180338438,6.42619838449338,8.81429455222527
2000,0.342310277734046,5.54934408264619,6.21998619920549
2500,0.337045728384907,NaN,5.60994554583147
3000,NaN,3.80897389363307,3.84487547914824
3500,0.34967648982996,2.87703574069537,NaN
4000,0.357389499347816,2.38648537520008,2.81904377636151
4500,NaN,NaN,2.51901853512421
5000,0.332413178264578,2.06355273091792,NaN
5500,NaN,NaN,2.39477330315008
6000,0.398315036839057,1.65973201282212,NaN
7000,0.34479956022118,1.35020042147344,1.79684376292761
8500,0.377732502688407,1.21261256463356,1.04697890287841
