timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0287440358252071,-0.280921489721089,9.61477682975422
100,0.0555959217182774,NaN,NaN
250,0.0670570928290091,NaN,NaN
400,0.144170023320863,NaN,9.25516982083587
450,NaN,1.51989659330336,NaN
550,0.222939074240819,NaN,NaN
700,0.295483514513842,NaN,NaN
750,NaN,NaN,10.3236018120263
900,0.338541057133674,5.39077438415308,NaN
1000,0.384260508867316,NaN,9.72528259270585
1500,NaN,6.3025649824985,8.38926236973063
2000,NaN,5.17631916422058,6.9845626538091
2500,NaN,4.36753152868811,5.39421572861089
3000,NaN,3.6657557562204,NaN
3500,NaN,NaN,3.54780253579903
4000,NaN,2.54132119756487,3.08283990921619
5000,NaN,2.233925644897,2.96101885984278
6000,NaN,1.71088687045184,1.52492486058897
7000,NaN,1.4415144732441,1.44882996325086
8500,NaN,1.02913102650214,2.00725476160719
