timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,-0.0562552013849592,-0.49705546098126,10.236925756034
100,-0.0333568729493946,NaN,NaN
250,0.103443012084597,9.52384340615176,NaN
400,0.100871040893979,NaN,9.34720566075246
500,0.325627151400614,NaN,NaN
550,NaN,9.14492259273779,NaN
700,0.671960067755613,NaN,NaN
800,NaN,8.84972602872528,9.98697530172632
850,0.938527224180476,NaN,NaN
1000,1.20800280990522,9.56762269042735,11.1064849052463
1500,1.36960523394249,8.35545520516013,9.58116212287094
2000,1.39296363616399,7.94236938343508,10.1403083755603
2500,NaN,7.45363603494129,9.51992737474087
3000,NaN,7.23120640151712,NaN
3500,NaN,NaN,8.10655606008711
4000,NaN,7.16260263962526,7.23956921867666
4500,NaN,6.25387500547472,NaN
5000,NaN,NaN,8.96614039709027
5500,NaN,6.30273514569676,NaN
6000,NaN,NaN,8.0365431226692
6500,NaN,6.32325648093423,NaN
7000,NaN,NaN,8.18394498522369
8500,NaN,NaN,6.95330496414439
