timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0286638514012249,-0.0546415895162424,9.82450034227612
200,0.0302566816823075,NaN,NaN
300,NaN,9.11361265057172,NaN
400,0.0717731804093671,NaN,NaN
450,NaN,NaN,9.89012400212806
550,NaN,9.9282665711951,NaN
600,0.062214536064874,NaN,NaN
800,0.174894728294067,NaN,NaN
850,NaN,8.51210583841587,9.81841407754155
1000,0.239942425355504,9.0100766274113,NaN
1500,0.426580549955318,8.49303714657365,9.3048265862461
2000,0.618375930687651,8.68900401000556,8.42439165155009
2500,0.675671794998822,8.62519989621709,9.14073633438148
3000,0.682563804427199,7.45166778871933,8.69520373783249
3500,0.664120116971911,NaN,NaN
4000,NaN,7.05679371683255,7.86803459882341
4500,NaN,7.80982752787213,8.68862465056582
5000,NaN,6.63545970419726,NaN
6000,NaN,6.31837703733977,5.73277002138354
7000,NaN,5.87595265194843,6.31014130082004
8500,NaN,NaN,5.91723001940991
