timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0461763157924197,-0.347966216621611,10.1474415940181
300,0.0965379709666994,NaN,NaN
400,NaN,NaN,9.18538864557242
450,NaN,0.81574800065208,NaN
600,0.062146544722076,NaN,NaN
800,NaN,NaN,10.108251923848
850,NaN,3.2393106887784,NaN
900,0.181593427209958,NaN,NaN
1000,0.257494865241953,NaN,10.3880382119699
1500,0.533582076073323,5.82805536831457,9.28756321141733
2000,0.882157030845706,5.99363695331888,8.08192845545434
2500,1.04419495356496,4.71841549564707,6.92311212087697
3000,1.14682812984602,4.01916089131649,NaN
3500,1.19871206766038,NaN,5.42138220143173
4000,1.24665061909189,3.06298311451937,4.5175087420138
4500,NaN,2.41743313453872,NaN
5000,1.16944034405597,NaN,4.23697427849312
5500,1.14862003777641,NaN,NaN
6000,NaN,1.8360998290012,3.05586343677925
7000,NaN,1.51963205524559,3.22052299752275
8500,NaN,1.38041691784614,3.07958261200756
