timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0204321740978973,-0.0545617596602815,9.54985318215934
150,0.0458987917689762,NaN,NaN
350,0.0785077543806418,NaN,NaN
400,NaN,0.223117021482985,NaN
450,NaN,NaN,9.81128286005238
500,0.071652703253103,NaN,NaN
700,0.121692625398003,NaN,NaN
800,NaN,0.579369916292893,NaN
850,NaN,NaN,10.4225744221345
900,0.187816991710997,NaN,NaN
1000,0.198077398459101,0.872518932615785,NaN
1500,0.359324349526892,1.45261222565275,9.98195731347393
2000,0.44295686382238,1.63248641905552,9.79428789322818
2500,0.508471060090752,1.4951989940687,7.26152466457595
3000,0.495307887056645,NaN,6.06654355218268
3500,0.533044366979381,1.2281142287436,NaN
4000,NaN,1.02196787065863,4.34043602819754
4500,NaN,NaN,4.80927501504411
5000,NaN,0.901132237243522,NaN
6000,NaN,0.597125480537163,0.648371329433058
7000,NaN,0.547428081892308,1.80255257598965
8500,NaN,0.372261898251516,0.793234245468527
