timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,-0.00124859583744968,-0.00523388838318102,10.6786136900934
200,0.0319432394026142,NaN,NaN
350,0.0457657703362005,NaN,NaN
400,NaN,0.2134223688344,NaN
450,NaN,NaN,10.6943333142366
550,0.112348768252432,NaN,NaN
750,0.182797345565525,0.597795773992339,NaN
900,NaN,NaN,9.44480448210706
1000,0.321482097191724,1.0444607746358,NaN
1500,0.479339232851993,1.69429215691883,9.57765165864802
2000,0.562728863775468,1.72304996243623,9.16266421536625
2500,0.604120743201935,1.60296848247413,6.83147518590195
3000,0.584689961839202,1.36203467409276,5.12068588461728
4000,NaN,1.0134387390045,3.0054353066413
4500,NaN,0.874731073260083,2.83724813592413
5500,NaN,0.622512490335524,NaN
6000,NaN,NaN,1.91264439364491
6500,NaN,0.598171090988645,NaN
7000,NaN,NaN,0.84258526468587
8000,NaN,0.40406901532146,NaN
8500,NaN,NaN,0.527002675394047
