timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.043394829121184,0.0137923480029687,9.56465733820797
350,0.0182563198699591,NaN,NaN
400,NaN,NaN,10.8618257970691
450,NaN,0.220152831239092,NaN
750,0.0494749206221786,NaN,NaN
800,NaN,NaN,9.42954930622326
900,NaN,0.513710302731263,NaN
1000,0.132544695142247,NaN,10.4798071887286
1500,0.287090212561156,1.12275256154761,10.4315296366196
2000,0.440172069170632,1.63148491586081,10.2638119701039
2500,0.669057942055206,1.820556583618,8.10556999484112
3000,0.687834092183505,1.68882763078701,NaN
3500,NaN,NaN,4.79575016408531
4000,0.739719541111111,1.13751125277198,3.78883422949399
4500,NaN,1.00823221591747,NaN
5000,0.84374363802885,NaN,2.76909818413742
6000,0.833073513637503,0.603057796739208,1.71398369308521
7000,NaN,0.448392039665884,1.31553949960307
8500,NaN,0.328218862253146,0.439197510779248
