timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0906881421106203,-0.110523769304479,11.0243078166946
150,0.0387787642489579,NaN,NaN
300,0.0158505229445266,9.70521844046649,NaN
400,NaN,NaN,9.40175050679501
450,0.177787475950433,NaN,NaN
550,NaN,8.60511085247648,NaN
600,0.250718207397261,NaN,NaN
750,0.370037274470196,NaN,NaN
850,NaN,8.6833731331698,9.94100412119739
900,0.585395431120652,NaN,NaN
1000,0.669933594393609,9.40537961753389,NaN
1500,1.02416725333314,8.21092898134636,9.7565486682769
2000,1.12690467515234,8.77076045664831,9.49627659219457
2500,1.1003702765615,8.7389254284614,8.97385311105592
3000,1.15068648320896,7.98471949309122,8.14365947156637
4000,NaN,6.94228940629958,8.32363397983354
4500,NaN,6.89045563686376,7.75815245138234
5500,NaN,5.74340159993764,7.52903491327834
6000,NaN,5.78224215146295,NaN
7000,NaN,NaN,6.55066898914112
7500,NaN,5.45145052616124,NaN
8500,NaN,NaN,6.46148749777943
