timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,-0.005072939471777,0.201211164038694,10.0486638888975
150,0.0219414994373878,NaN,NaN
300,NaN,9.50814417261638,NaN
350,0.0253218641006075,NaN,NaN
450,NaN,NaN,10.3022959393508
500,0.0399728217078437,NaN,NaN
600,NaN,9.43467385319882,NaN
700,0.158274097118736,NaN,NaN
900,NaN,NaN,8.86540729401752
950,0.317749723001595,9.10607332128338,NaN
1000,0.370694272761765,NaN,NaN
1500,0.691976664410123,7.96605629619438,8.87494150715481
2000,0.860874879031088,9.18958937612567,8.55812637650225
2500,0.895718012217242,6.98428069492299,8.87669031922356
3000,0.915708640967162,7.81915588681911,8.38624915870953
3500,NaN,6.76021568865285,NaN
4000,NaN,NaN,7.13424272692266
4500,NaN,6.89623169717778,7.33784904379412
5000,NaN,6.6185663203523,NaN
6000,NaN,6.31541557174023,7.67705620142647
7000,NaN,5.35874915519956,6.52840276142032
8500,NaN,NaN,6.63605530934893
