timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,-0.00541507459385566,-0.0267871551123956,10.5155923932285
300,0.0062813723668811,NaN,NaN
350,NaN,NaN,9.65184823581192
400,NaN,0.0715013825268785,NaN
600,0.101268914962711,NaN,NaN
700,NaN,NaN,10.0185908476359
850,NaN,0.461670063105009,NaN
950,0.15428537312881,NaN,NaN
1000,NaN,NaN,9.7340063155127
1500,0.195832955222973,0.986104240232376,10.9119335692989
2000,0.379123081322377,1.48469664596208,9.10135789244869
2500,0.610790695041902,1.7048285498105,9.1523725496049
3000,0.817789665928179,1.74686051754305,8.09776642839574
3500,NaN,1.65529876917993,NaN
4000,1.1234996580629,1.2273186330046,4.51978374852907
4500,1.19472722389675,NaN,3.17295642622633
5000,NaN,0.802005666655165,NaN
5500,1.2615323824986,NaN,NaN
6000,NaN,0.436676600584907,2.17422742626193
7000,NaN,0.395684265803571,1.97001817142301
8500,NaN,0.224536809162914,1.56154474641369
