timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0495636035825144,0.0481255368339959,10.3414406236364
150,0.0661634721438328,NaN,NaN
300,0.0612409132315472,NaN,NaN
350,NaN,9.16322062741264,NaN
450,0.127233029258213,NaN,9.68529849845475
650,0.176582639186705,8.95126625768637,NaN
850,0.248513673868904,NaN,NaN
900,NaN,NaN,9.63712697506219
1000,0.327500000402745,8.22350371076631,NaN
1500,0.412746019183464,8.39055514700148,9.40061439479302
2000,0.435992375535115,8.13437552304392,8.80526380846963
2500,0.449841855625678,8.17051987940261,7.7392393784843
3000,0.411820655021607,7.33079178326173,8.36249170668438
4000,NaN,7.03065504193675,7.08777116891641
4500,NaN,5.79414143602363,6.84046137647142
5500,NaN,6.60096225720777,NaN
6000,NaN,5.88218139734032,6.11504005881366
7000,NaN,NaN,5.79622231032174
7500,NaN,4.9623928072873,NaN
8500,NaN,5.39276643364735,5.38986629325714
