timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0251677948763401,0.00868469857357068,10.1945204027933
350,0.0911257425710951,NaN,9.5948061083594
450,NaN,0.229815023822243,NaN
700,0.0708398273914439,NaN,NaN
750,NaN,NaN,10.8096913182826
900,NaN,0.391351258682531,NaN
1000,0.0682906875374863,NaN,10.3010863354558
1500,0.115839131918408,0.669059591115492,9.03906595146218
2000,0.153979476838759,1.11517849969665,10.4176907373544
2500,0.367041872022497,1.36590293007456,9.09507687554047
3000,0.479058190505339,1.52497163229915,NaN
3500,0.631757687734004,NaN,7.44864013107472
4000,NaN,1.54443260890763,NaN
4500,1.06249759400887,NaN,4.48265587320867
5000,NaN,1.15990348984797,NaN
5500,1.32372430958683,NaN,2.81523379569819
6000,NaN,0.676155676649017,NaN
6500,1.32053823110159,NaN,2.82025650588625
7000,NaN,0.445662404551805,NaN
8500,NaN,0.155584348513095,NaN
