timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,-0.0062541761522143,0.0748764965186907,9.77426473288268
150,0.0298506795573619,NaN,NaN
300,0.0933774125048608,NaN,NaN
400,NaN,0.20858662964156,NaN
450,NaN,NaN,9.85083045061124
500,0.0960127780550132,NaN,NaN
650,0.174221393078176,NaN,NaN
850,0.292076301443087,0.787147225630205,NaN
900,NaN,NaN,10.2405811332957
1000,0.398720822103676,NaN,NaN
1500,0.684662971624627,1.9189727723593,9.27006515493172
2000,0.897772562783059,NaN,9.103586362667
2500,0.99661059555502,1.53663250424632,6.38085716826484
3000,1.0116710502357,1.43060314474293,4.3532465214679
3500,NaN,1.04432353478007,NaN
4000,NaN,0.862032571050269,3.21188639639852
4500,NaN,NaN,1.43342734889792
5000,NaN,0.593898294127194,NaN
6000,NaN,0.374296131344303,1.80416627556399
7000,NaN,0.285817923802538,1.69859176748641
8500,NaN,0.176923084502072,1.50228154158469
