timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0106377925239166,0.176435193252928,10.4792476600882
150,0.0373189829478697,NaN,NaN
250,NaN,9.62037728527317,NaN
300,0.090933578642847,NaN,NaN
400,NaN,NaN,10.0998691031865
500,0.136473534708489,NaN,NaN
550,NaN,10.051563660044,NaN
650,0.135666726488691,NaN,NaN
800,NaN,NaN,9.3196545947889
850,0.247382429828469,8.64636258604961,NaN
1000,0.335479867613264,10.006936438752,9.12081512151441
1500,0.496091827546697,9.08070681086066,8.69285667667446
2000,0.572017367810982,8.03515867401973,8.59311597228228
2500,0.596560685573134,7.89021557409575,8.86335335456713
3000,0.617938623607255,8.18285421919818,NaN
3500,NaN,6.72305988638651,8.6397003039412
4000,NaN,NaN,7.52556093562464
4500,NaN,7.23394179980416,NaN
5000,NaN,5.87338541341929,6.97501455061889
6000,NaN,6.30231725908286,7.07324768104586
7000,NaN,5.78018648882874,6.48400624823095
8500,NaN,NaN,6.00975256840129
