timepoint,Bac_Obs,cGlu_Obs,Compound_1_Obs
0,0.0224359222662163,-0.302132746258409,8.75326687192465
100,0.0593463948341643,NaN,NaN
250,0.101447494166533,NaN,NaN
350,0.145940517268607,NaN,NaN
400,NaN,1.39485325618022,9.98071831160203
500,0.226085840587076,NaN,NaN
700,0.329630001648414,NaN,NaN
800,NaN,NaN,10.2284327128892
850,NaN,5.03295513852427,NaN
900,0.46958359899719,NaN,NaN
1000,0.489341507305279,NaN,10.4976354543647
1500,NaN,6.4490621583375,8.52767142030699
2000,NaN,5.0512045651185,6.94238432720424
2500,NaN,4.0624828578036,5.46636809096687
3000,NaN,3.38889922967171,NaN
3500,NaN,3.05941958883464,4.03111835389677
4000,NaN,2.39599215454984,3.29212009188601
5000,NaN,2.1918916363569,2.74477545773123
6000,NaN,1.72369316255143,2.27714812144329
7000,NaN,NaN,1.21330247630889
7500,NaN,1.86041998960818,NaN
8500,NaN,1.40534397980028,2.10008536588514
