t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs
0,12.487211206305,-0.00529745323220663,-7.03756123539355
6,NaN,1.87368831964268,NaN
7,8.53439261657495,NaN,NaN
8,NaN,NaN,-1.03345781866935
10,NaN,-0.0284541807497998,NaN
15,0.348884076374404,NaN,13.955921530648
20,6.42586865828146,0.576807255441883,NaN
25,NaN,0.590972684771922,16.2554716600471
30,-3.65389120275814,NaN,NaN
35,NaN,1.2234347236327,6.16593157442873
40,7.28658446024422,0.562426034021973,NaN
45,NaN,NaN,7.62760740063638
50,5.41945773865507,1.23017105945681,NaN
55,NaN,NaN,8.89030593731905
60,4.99136135718443,NaN,NaN
65,NaN,-0.243312025821582,NaN
70,NaN,NaN,2.56914462208221
75,2.53536754757406,-0.0902823528558788,NaN
90,9.00626231102323,NaN,3.76765863462206
95,NaN,-0.269606570674432,NaN
100,-2.72428032956971,1.14583721725845,1.49007238277653
150,-3.5336828154851,NaN,-0.485965650772696
