t,CISHnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,0.00917599868147521,0.000100581039131971,0.00952234171579428
4,-0.0132182412449024,NaN,NaN
5,NaN,0.0353930812700055,NaN
6,NaN,NaN,0.00798121934166389
8,-0.0310986908188852,NaN,NaN
10,-0.0534037555845762,-0.0327380218078912,0.00692101701139491
15,0.0599628596683231,0.0636439197143591,NaN
20,0.0469982229610217,-0.0408736832831417,0.00169650988698783
25,NaN,NaN,-0.000164316289690584
30,0.0804127556644171,0.00610504271575353,NaN
35,-0.0498650629516163,-0.0587651809089714,-0.00203564739349481
45,0.0185607848813421,-0.0203293450257957,NaN
50,NaN,NaN,-0.00319788654829888
55,-0.00771512325385123,0.00534225488718574,NaN
65,0.0905063989779368,-0.14467582587259,NaN
80,NaN,0.0397109549445726,NaN
