t,CISHnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,0.0013767884419634,-0.0272132571682832,0.00997212374423701
3,0.0400135540592797,NaN,NaN
4.5,NaN,-0.0576093060948989,0.077398645587505
5.5,0.0329476240870071,NaN,NaN
8.5,-0.0290790912856553,NaN,NaN
9.5,NaN,0.0881239104650243,0.0960056397340908
10,0.000663300557360884,NaN,NaN
15,-0.15630311602254,-0.0833978366905255,0.00646912884275625
20,0.00438615932401283,0.102039523600064,0.0142037732717807
25,0.0144435795380271,NaN,NaN
30,0.010716255165308,-0.0236481659915809,0.030661512757965
35,-0.0186500886328474,0.0381850884607913,-0.0697591804001468
40,-0.0398681724457546,NaN,NaN
50,0.00446664653617851,NaN,NaN
55,0.0202412813675166,NaN,NaN
