t,EpoRJAK2_Obs,pEpoRpJAK2_Obs
0,4.88423831868618,0.0337486833049579
5.5,NaN,1.91248485133513
7,2.71589897683718,NaN
10,NaN,1.09714342253728
15,4.00662214658462,NaN
20,3.47686549902642,0.64140860029765
25,NaN,0.57856446675269
30,4.05688808427563,0.470406210723952
40,3.94946407374918,0.437379957809921
50,4.11741924164612,0.369792909658246
60,NaN,0.287001055719478
65,4.46836776290989,NaN
70,NaN,0.32817719111884
80,4.16327423457888,NaN
85,NaN,0.280977991749938
95,4.39537539937591,NaN
100,4.57662033971337,0.223138200550154
