t,EpoRJAK2_Obs,npSTAT5_Obs,SOCS3nRNA3_Obs
0,0.858224765321121,-0.0651479034690085,0.0293032520219298
10,3.72862859832358,0.944338941853295,NaN
15,NaN,NaN,0.007923736360845
20,4.538968842406,NaN,NaN
25,NaN,3.00381364371599,NaN
30,-2.19551924318297,NaN,0.0138341596970342
35,NaN,0.427651528536649,NaN
45,2.16998584344582,4.19306859077428,NaN
50,NaN,NaN,0.0233525288436697
60,2.14786041709556,0.191497759418262,NaN
70,NaN,NaN,0.0239057549627092
75,-0.667315398131892,1.03112307618327,NaN
90,NaN,NaN,-0.00377938952471295
95,1.59559636531962,-1.24130508894126,NaN
100,0.916178320131395,0.629864794597323,0.0121665294376757
150,5.17510026027703,0.931931874839308,0.0203809587948722
200,NaN,0.61946206771136,0.0104902120400708
250,NaN,-0.655742557530011,0.00613178783002787
