t,epo_level,EpoRJAK2_Obs
7,2.5e-09,3.06698767792475
7,2.5e-09,3.60540951289773
7,2.5e-09,6.38815813589541
7,7.905e-09,8.7206056214767
7,1.25e-08,0.506544297873128
7,1.75e-08,5.76195654618822
7,2.5e-08,1.38048074574162
7,2.5e-08,5.54652507532949
7,2.5e-08,13.7614482670996
7,3.95e-08,-7.83317574250948
7,3.95e-08,0.618612329386965
7,3.95e-08,5.77270845409889
7,7.9e-08,-8.53405034453692
7,7.9e-08,1.69266772090397
7,7.9e-08,8.77256396498655
7,1.25e-07,4.78959869185122
7,1.7675e-07,6.49423862839077
7,2.5e-07,-2.10152969142484
7,2.5e-07,6.25337142627999
7,2.5e-07,8.20607604428218
7,7.905e-07,1.09199824709278
7,2.5e-06,-3.21852192962069
