t,EpoRJAK2_Obs,SOCS3nRNA3_Obs
0,1.35546603874802,0.000803419140682747
6.5,NaN,0.000741804980403209
15,-0.0781079571043887,0.00196552561290804
20,NaN,0.001426691351332
30,NaN,0.000897885264741983
35,-0.267155956416737,NaN
40,NaN,-0.000116002546781412
50,0.0573056588267167,0.00244302721429185
60,NaN,0.00145056924729631
70,-0.0244925283389433,NaN
75,NaN,0.000223577733702615
90,-0.158118652457691,0.0026084604944116
100,0.075892204134369,NaN
150,0.309211082677582,NaN
200,-0.168647859388352,NaN
250,-0.0790314315362716,NaN
300,-0.0925943970978852,NaN
