t,EpoRJAK2_Obs,SOCS3nRNA3_Obs
0,1.45517082121253,0.0011760466508213
6.5,NaN,0.00121184437569492
15,0.0528892737925639,0.000969744258386276
20,NaN,0.0011028489571035
30,NaN,0.00108869665499845
35,0.0586422865777143,0.00092787741625688
50,0.0624044173961435,0.000979105699788337
60,NaN,0.00110060280660415
70,0.0895796997734372,NaN
75,NaN,0.000995681945181862
85,0.128963924361002,NaN
90,NaN,0.00109081138704939
100,0.152326098144696,NaN
150,0.182346094681468,NaN
200,0.193438246808419,NaN
250,0.235119780640079,NaN
300,0.236898829614458,NaN
350,0.24164018393746,NaN
