t,EpoRJAK2_Obs,npSTAT5_Obs,SOCS3nRNA3_Obs
0,9.05691435078313,8.16858368892911,-0.00515409423221651
10,1.45930946284508,18.8015012821221,NaN
15,NaN,NaN,0.0295701117295546
20,3.04576377512863,21.6818126251468,NaN
30,NaN,0.43421127578331,0.048228858931492
35,2.64809563447581,NaN,NaN
45,5.81371472715122,12.7563222279392,0.0480348830001528
55,NaN,-7.21205278404396,NaN
60,8.21978412842575,NaN,NaN
65,NaN,NaN,0.118717813578452
70,NaN,-7.27156102824828,NaN
75,4.83621841643262,NaN,NaN
85,NaN,NaN,0.0307130130717078
90,5.11963200322818,0.411487738831803,NaN
100,3.0431942496728,10.8839579077157,0.0585832981756525
150,4.20366527714792,7.55627858043458,0.0847799027072081
200,5.09445742201353,2.24978895370527,0.0395673604555977
250,NaN,NaN,0.0765620063234409
