t,epo_level,EpoRJAK2_Obs
10,0,1.46533585636399
10,0,1.46900279724333
10,4.2857e-08,1.33738381110071
10,4.2857e-08,1.47419587705971
10,1.4286e-07,1.28354388256995
10,1.4286e-07,1.31741847595746
10,4.2857e-07,0.91510237194323
10,4.2857e-07,0.956717735315672
10,1.4286e-06,0.386439485012167
10,1.4286e-06,0.516181593960598
10,4.2857e-06,0.0818866690391579
10,4.2857e-06,0.0995540456817379
10,1.4286e-05,0.0914643252310257
10,1.4286e-05,0.100828720857978
10,4.2857e-05,-0.0353329568235627
10,4.2857e-05,0.0868083809920235
