t,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA2_Obs
0,-0.0107602312167087,8.22805542557774e-05,0.00105902268485518
20,NaN,NaN,0.0010023520078182
35,0.303944851474841,NaN,0.00106681538924472
55,NaN,NaN,0.00105589776258442
65,NaN,0.00052669812641571,NaN
70,0.301288927469456,NaN,NaN
80,NaN,NaN,0.00102055373926538
100,0.278076002646392,NaN,0.00109717887731844
150,0.2667818708751,0.000510101283690012,0.00100060676572464
200,0.293929485753747,0.000461642036301563,0.00115295220276873
250,0.247371318276093,NaN,0.000999344039747121
300,0.275005410331395,0.000469164498991767,NaN
350,0.29500146403729,NaN,NaN
400,NaN,0.000479655293619957,NaN
450,0.261179139616407,NaN,NaN
500,NaN,0.00046439572080843,NaN
550,0.275053727944833,NaN,NaN
