t,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA2_Obs
0,-0.0184836990090887,9.17806131974959e-05,0.0011108349532804
20,NaN,NaN,0.00118343854832103
35,NaN,NaN,0.000987492548355946
40,0.277417150801821,NaN,NaN
55,NaN,NaN,0.000886123887157888
80,0.298285245882163,NaN,0.00105497285478338
85,NaN,0.000530979494339081,NaN
100,0.266580111401104,NaN,0.00117279632835248
150,0.228783188309716,0.000498120905140562,0.00105635629200499
200,NaN,NaN,0.00103187700837612
250,0.247394995775547,0.000484914008160527,0.00112958720769745
300,0.276227664992063,NaN,NaN
350,0.260549489788742,NaN,NaN
400,NaN,0.000448055585266753,NaN
450,0.251855610713887,NaN,NaN
500,NaN,0.000428565332086142,NaN
550,0.239675325846032,NaN,NaN
650,NaN,0.000434254633177349,NaN
