t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,1.05779355136595,0.373622319937669,1.67527655257896,0.0517303186496427,-0.000548629286477451,0.00760560779216298
20,1.81698393237251,1.63927883843841,NaN,NaN,NaN,NaN
25,NaN,NaN,1.93567822349741,0.0285292065184952,0.0423337456531153,-0.00289479764303644
40,0.234390178647753,0.952301445813763,NaN,NaN,NaN,NaN
45,NaN,NaN,15.5341300442366,NaN,0.0434182596709182,NaN
50,NaN,NaN,NaN,0.0418854383372022,NaN,0.101757239369549
60,NaN,0.782039615045472,NaN,NaN,NaN,NaN
65,4.35765288982237,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,5.34922443382877,NaN,NaN,NaN
75,NaN,NaN,NaN,0.0316772495536889,0.0585931432037426,NaN
80,NaN,NaN,NaN,NaN,NaN,-0.0443868228704677
85,NaN,1.29121235978388,NaN,NaN,NaN,NaN
90,10.7866321981071,NaN,NaN,NaN,NaN,NaN
100,0.148394056152094,1.01405811595342,16.2088739814664,0.0410920328588754,0.000992090244238901,-0.0250003864260793
150,-1.08529995687172,-0.868126966842226,22.3798544830901,0.00597758651266895,0.041346367323306,0.036210252787194
200,10.607022226054,0.767913098751351,7.02176403472908,0.032147490997889,0.0197703322483131,0.0125253078005942
250,0.100607761284933,0.640486376585168,-0.713340500838062,0.0144404504226462,0.0547642009374348,0.00177930268685463
300,NaN,0.468601306479021,0.881002102609241,0.00666045569626655,NaN,0.0368146833316717
350,8.06155513404439,NaN,NaN,0.00827083850981019,-0.0190017628377394,NaN
400,NaN,NaN,7.70793251613915,NaN,NaN,NaN
