t,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA2_Obs
0,-0.083494376144791,9.60223745851789e-05,0.00112136545535651
10,-0.0962811837706149,NaN,NaN
15,NaN,8.89830780101483e-05,0.0010785505217714
25,0.0222909243906656,NaN,NaN
30,NaN,8.6942625490946e-05,0.00111464321572514
40,0.0247488398952817,NaN,NaN
45,NaN,8.3849514761502e-05,0.0011598362548653
55,-0.016610282476479,NaN,NaN
65,NaN,7.64138218294067e-05,0.00108379583735002
70,0.069999339360052,NaN,NaN
85,NaN,NaN,0.00110103249397855
90,NaN,8.07540455175501e-05,NaN
95,0.0191520835757963,NaN,NaN
100,NaN,NaN,0.00111892968591423
