t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.703934687467109,1.22173479791667,1.14395587766382,0.0814544447098769,0.00151559953961534,0.00111613546609118
9,0.0161763606496331,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.939641358374392,0.783285938498299,NaN,0.00169056890620121
20,0.0111190466440082,0.00984723371147762,NaN,NaN,0.00379155444443926,NaN
30,0.00910542904948018,NaN,0.520332997225302,0.68457693208992,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,0.00174549850060205
40,0.00838930019734949,NaN,NaN,NaN,0.00215913756149088,NaN
45,NaN,0.00840415671514274,0.498402118004111,0.425951258474086,NaN,NaN
55,0.00510178638904576,NaN,NaN,NaN,NaN,0.00122445529551813
60,NaN,NaN,0.393543729278334,0.324171901440254,0.00171316557985054,NaN
70,0.00498942518675698,0.00390099753542815,NaN,NaN,NaN,NaN
75,NaN,NaN,0.261621502050356,0.294686305424786,NaN,0.00156893195823333
80,NaN,NaN,NaN,NaN,0.00148438254501644,NaN
85,0.00362308104072305,NaN,NaN,NaN,NaN,NaN
95,NaN,0.0032445172015488,0.233994282658723,0.194552553171369,NaN,NaN
100,NaN,NaN,0.170982802478395,0.212158057787573,0.00159840160545242,0.00156622740982663
150,NaN,0.00191967301631409,0.093982842334945,0.129207203770816,0.00186213173244879,0.00151092602480941
200,NaN,NaN,0.0800731705663556,0.0821754355267003,0.00183118163462227,NaN
250,NaN,NaN,0.0671482615887832,0.0741592776624742,0.00181824152682209,NaN
300,NaN,NaN,NaN,NaN,0.00207007734700913,NaN
