t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.4664003729105,1.18031065578604,0.875831472447765,0.000979583796930955,0.000815722426742222
30,1.23024754942158,0.876088926335434,0.925521958144136,NaN,0.26162181970958
40,NaN,NaN,NaN,0.00133135364560047,NaN
55,NaN,NaN,NaN,NaN,0.373340698189784
60,1.77696105155021,0.88252516116924,0.648168580538039,NaN,NaN
75,NaN,NaN,NaN,0.00104863633727606,NaN
85,NaN,NaN,NaN,NaN,0.446524303410395
95,1.25272801076855,0.591287809827847,0.544969889475596,NaN,NaN
100,NaN,NaN,NaN,0.000646214972040699,0.797046764838326
150,1.27548081691983,0.551720716316615,0.521774834469464,0.00042230745359332,1.21424447892925
200,2.40292558531665,0.512542418999795,0.46441656116244,0.000302322139553507,0.861966090342487
250,2.02445332141438,0.423713456086312,0.342318387176445,NaN,1.26536354284427
300,1.93311008864866,NaN,0.403933911038713,0.00014447423005107,1.26751363061325
350,NaN,0.331164602935132,NaN,8.08048671275663e-05,NaN
400,2.24398019285934,0.411028697253131,0.213935332328741,NaN,1.87421194247682
450,NaN,NaN,NaN,6.58586151655792e-05,1.83444282955184
500,1.69803410703683,0.269383060036189,0.251654973570299,NaN,NaN
600,3.04905788259101,0.205648401133757,0.263457192295918,1.47579490032968e-05,1.74787657064059
