t,RIIp_2_Obs,AC_Fsk_Obs,Csub_Obs
0,0.13548362002946,0.31824249442673,0.0747473096723126
10,0.212554743521498,NaN,NaN
15,NaN,NaN,0.170511772780809
20,0.164662863707923,-0.0700453356358665,NaN
30,0.0929329198321268,NaN,0.225679946688295
45,0.130909306255916,-0.0348965914024481,0.13803801361046
60,0.132592583068258,NaN,NaN
65,NaN,NaN,0.0996094999345575
70,NaN,-0.111264952406359,NaN
75,0.119000897229382,NaN,NaN
85,NaN,NaN,0.094701247574683
95,0.170501523469867,0.155795513792384,NaN
100,NaN,-0.0381972360410639,0.194658491495028
150,NaN,0.224059502893222,NaN
200,NaN,0.0221398426364667,NaN
250,NaN,-0.260041180129839,NaN
300,NaN,-0.0271950449906192,NaN
350,NaN,-0.128378364681186,NaN
450,NaN,-0.540686659905797,NaN
