t,AC_Obs,AC_Fsk_Obs
0,0.804278405830349,0.048392309304008
6,NaN,0.0263971366035109
6.5,0.934272760037193,NaN
15,1.39616957163762,-0.0356961864154683
20,0.897877152682898,0.0039965103399337
25,NaN,0.0255011426083545
30,1.06753504829342,NaN
35,NaN,-0.0060658071038041
40,0.976720227935506,NaN
45,NaN,-0.0363639598108833
50,1.2504197387554,NaN
55,NaN,-0.0146146649726822
65,0.477681011006717,NaN
70,NaN,0.497969569607791
80,0.421046470094544,NaN
85,NaN,0.541659590043078
100,0.468462219571518,0.580178207642623
