t,RIIp_Sp8_Br_cAMPS_2_Obs,Csub_Obs
0,-0.000196220672624158,0.177085489330735
5.5,0.000631022927679102,NaN
8,NaN,0.162267632704851
10,-0.000115870722284424,NaN
15,0.00214682837814772,0.238340209171819
25,0.00146334114803126,0.366783165866129
30,0.00169149511543673,NaN
35,NaN,0.46950193776477
40,0.00198319228444648,NaN
45,NaN,0.564816268900861
50,0.000919001190092381,NaN
60,0.0018069176885051,0.475781156048686
75,0.00176561829680075,0.530697925372058
90,NaN,0.501259539069153
100,NaN,0.453918433776763
