t,AC_Obs,RIIp_2_Obs
0,1.41811651097908,0.104423608216789
9,1.21162077425422,NaN
20,0.852990808927688,0.0400321507923385
30,1.02030067930318,NaN
35,NaN,0.0830615983962715
40,1.17216680966466,NaN
55,1.24840873125179,0.13190564978506
70,0.726136396743045,NaN
75,NaN,0.332092404631895
85,0.627700577430586,NaN
100,0.938949351187532,0.491552288943235
150,0.677868091509907,0.387802731629449
200,NaN,0.527904333757696
250,NaN,0.42242565045399
300,NaN,0.433555845588155
350,NaN,0.570212284318679
450,NaN,0.401064779508225
