t,AC_Obs,Csub_Obs
0,0.65637660869328,0.24147485599952
6,0.971152795139608,NaN
10,1.47781928638567,NaN
20,1.3460487001873,0.193668184686312
25,1.04293220276038,NaN
35,1.07760607976651,NaN
40,NaN,0.274897099171364
45,0.622994718650297,NaN
55,0.809678741002109,NaN
60,NaN,0.156615003965212
65,0.752682531395157,NaN
80,0.566098938211673,0.241352915054392
95,0.861205123375765,NaN
100,NaN,0.420530599547098
150,NaN,0.567485145733982
200,NaN,0.454449132623188
250,NaN,0.297796641003459
300,NaN,0.426079084685493
350,NaN,0.500777379055442
450,NaN,0.504940824906459
