t,AC_Fsk_Obs,Csub_Obs
0,-0.0476216077727742,0.184912532031789
15,0.122201295421189,NaN
20,NaN,0.10649336819027
30,-0.00779514440775584,NaN
45,NaN,0.0683571155737383
50,-0.0626484655175601,NaN
70,-0.0649512670247291,0.0507102301931346
90,-0.112185159699398,NaN
95,NaN,0.061133572188391
100,-0.121083097571041,NaN
150,0.337306682096068,0.0216115405806754
200,0.187347643537319,0.0383141877769319
250,NaN,0.0293974004649925
300,NaN,0.0222020299725845
350,NaN,0.0359044969703512
450,NaN,0.0137187256910342
