t,RIIp_Sp8_Br_cAMPS_2_Obs,AC_Fsk_Obs,Csub_Obs
0,0.000243275465051407,0.0985138785022532,0.234639303642762
6.5,0.00297705377404863,NaN,NaN
7.5,NaN,NaN,0.405686563313552
15,0.00281674332476662,0.177283018555675,0.337679239818469
20,0.00209450168611511,NaN,NaN
25,0.00190937685555982,0.31789292592834,0.430845434052052
35,0.00148927449007514,NaN,0.411549615523631
40,NaN,0.0656293146418589,NaN
45,0.00147628206617115,NaN,0.478523999477637
55,0.00150935669478853,0.127507046562001,0.469527487105593
65,0.00133887094629349,NaN,NaN
70,NaN,-0.0576088631304967,0.433980152126737
80,0.00137579608424035,NaN,NaN
90,NaN,0.0436722782736898,NaN
95,0.00181295224567698,NaN,NaN
100,0.00134300319070335,0.0988472462461675,NaN
150,NaN,-0.140294281195364,NaN
200,NaN,-0.0391192983986569,NaN
250,NaN,0.406254345371454,NaN
300,NaN,-0.0504825109678185,NaN
