t,AC_Obs,RIIp_2_Obs
0,1.33714055929914,0.210620354967926
8.5,0.707476380590578,NaN
20,0.938213939677641,0.299121121403406
30,0.976609453220857,NaN
40,0.896986414777192,0.172045665804332
50,1.02649420312611,NaN
60,NaN,0.254626748627697
65,0.754076162225202,NaN
85,0.798817161939804,0.433539025609699
100,0.608241886626882,0.518693352042048
150,0.669129721719232,0.369268469939481
200,NaN,0.426263291894834
250,NaN,0.325960324881656
300,NaN,0.333907803513359
350,NaN,0.290645571930753
450,NaN,0.17499052794652
