t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_8_Obs
0,9990.35447978757,9940.96430844548,10027.4444594224,73.8633537226293,812.179733728113,196.762197106725
3,NaN,NaN,NaN,NaN,NaN,5986.51877454641
5.5,NaN,4951.43129760811,NaN,NaN,NaN,NaN
6,NaN,NaN,5905.60533550832,NaN,130.280475585545,NaN
6.5,NaN,NaN,NaN,NaN,NaN,6690.16080335986
8.5,4831.81837043759,NaN,NaN,88.207372706486,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,6310.28957201957
10,NaN,4540.18891128331,6345.6652224609,NaN,123.823114727515,NaN
15,4540.62087200251,4546.18834709171,NaN,142.616998443834,NaN,6032.54672558582
20,NaN,NaN,6178.77272997209,NaN,122.916384107781,6371.60229316444
25,4405.84008030238,4700.40864103024,6040.32765529504,250.462507217629,133.969315316939,6584.35858937823
30,NaN,4917.14112970621,6178.07406881025,NaN,137.29468618678,NaN
35,4362.58134543821,4907.72715457792,5854.74977951313,289.605651846851,NaN,6449.36713327792
40,NaN,NaN,NaN,NaN,141.723660033646,6333.17719147076
45,4448.32956302694,4880.11502574974,6340.4410533996,386.29763631198,141.87054919203,NaN
50,NaN,5036.68087664821,NaN,NaN,NaN,6568.65242246711
55,NaN,NaN,6237.08665523942,NaN,147.933407440498,NaN
60,4139.8775688235,4847.59165602852,NaN,456.297573802399,NaN,6369.59602944669
65,NaN,NaN,6153.56188865101,NaN,154.655431072726,NaN
70,4206.40450898667,NaN,NaN,512.742372426559,NaN,NaN
75,NaN,4867.94880479067,6015.21577939901,NaN,152.180036839768,NaN
85,NaN,5002.95318019914,6394.73777165034,628.267768969107,NaN,NaN
90,4192.26084311462,NaN,NaN,NaN,169.498310876541,NaN
100,4240.32230536971,4834.9035461586,6559.55947329659,776.74688296596,174.219456109901,NaN
150,4025.65550456557,5069.72449013786,6514.58862396298,1118.32230884538,195.243362173137,NaN
200,NaN,NaN,6499.03240541853,1496.85256335879,217.937264448416,NaN
