t,Compound_2_Obs,Compound_7_Obs
0,0.91218652575288,0.0420428922940116
4,0.922967920570738,NaN
7.5,0.927621299228551,NaN
10,0.868857863426112,0.857417779662981
15,0.964333771371645,NaN
20,1.01956576178017,NaN
25,NaN,0.757640601755394
30,0.986845554354081,NaN
35,0.962092462744295,0.727993467107196
45,0.952073169423011,NaN
50,NaN,0.683404397651941
55,0.980401759713385,NaN
65,NaN,0.568450342235958
80,NaN,0.503570648752165
100,NaN,0.421903592449771
150,NaN,0.273669284789953
200,NaN,0.177453313113174
