t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1069.90548547913,1005.67843827167,1016.55160072912,72.5336096620239
4,231.960216548515,NaN,NaN,NaN
5.5,NaN,184.354600332489,NaN,NaN
7.5,NaN,NaN,NaN,96.9331513437066
8,168.024381915032,NaN,NaN,NaN
8.5,NaN,NaN,1459.68776990342,NaN
10,167.987109454347,187.95854665112,NaN,NaN
15,151.45001134961,201.352287606736,1494.96660398722,132.051126118907
20,131.782838993903,NaN,NaN,NaN
25,NaN,231.735630961383,1574.70753444773,203.067191772332
30,113.303076638693,242.1228766294,NaN,220.357805001783
35,113.010243008105,272.325967906758,1584.62693816089,NaN
40,NaN,NaN,NaN,281.460504920222
45,93.2757892233255,296.527513245153,1542.59100757308,NaN
50,NaN,NaN,NaN,345.850291225403
55,67.3047010322819,353.837963319282,1474.67068171994,NaN
60,NaN,390.695481264188,NaN,NaN
65,89.1679912333728,NaN,1448.50745493561,417.747610448756
75,NaN,440.598218714313,NaN,449.239947343205
80,NaN,NaN,1411.08946367941,NaN
85,NaN,483.657797934973,NaN,NaN
90,NaN,NaN,NaN,532.729161624919
95,NaN,NaN,1447.3732788917,NaN
100,NaN,529.071909943207,1492.79325914209,568.371165608076
150,NaN,685.891290422559,1203.34897032243,716.723886342562
200,NaN,NaN,1185.42467670186,844.081570394743
