t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_8_Obs
0,165.686112303673,98.275611190885,105.534502191416,62.5896517915811,815.195737458994,-8.5060572713628
3.5,74.6522521549026,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,705.075766877395,182.241846951328
7.5,66.6107302259276,NaN,NaN,NaN,NaN,NaN
8,NaN,12.1063571704425,NaN,NaN,NaN,NaN
8.5,NaN,NaN,184.880370169421,NaN,NaN,NaN
10,63.6188746002477,NaN,NaN,68.2869438386334,NaN,NaN
15,61.1067580892057,11.2267983059357,181.731524536976,NaN,746.269111606022,179.032385178525
20,61.0234755329934,NaN,NaN,79.0269228395506,739.134548026884,184.586163268765
25,67.0765909049788,20.8503839692874,175.868125535773,NaN,NaN,NaN
30,NaN,NaN,NaN,83.2783784660777,698.602772871905,169.99191353239
35,69.3603137626241,25.5348268964393,171.305129317186,NaN,730.821033087286,161.375805929221
40,69.9088364290429,NaN,NaN,91.2222415428692,NaN,NaN
45,NaN,31.441302430632,NaN,NaN,753.58225568856,159.459856403533
50,65.4310660751175,NaN,159.411502039536,NaN,NaN,NaN
55,NaN,36.2417007942069,NaN,98.247338169767,730.58363820854,155.786790184168
60,NaN,NaN,158.705868613822,NaN,NaN,NaN
65,NaN,39.991598613656,NaN,NaN,790.62465861968,NaN
70,NaN,NaN,NaN,104.574663501478,NaN,158.060274517604
75,NaN,NaN,149.037080949463,NaN,749.987179870637,NaN
80,NaN,46.4875073718604,NaN,NaN,NaN,143.263120245441
85,NaN,NaN,NaN,113.828805252871,NaN,NaN
90,NaN,NaN,140.907221897753,NaN,780.065337121892,NaN
95,NaN,54.9342672114929,NaN,NaN,NaN,130.534786960611
100,NaN,55.9736282904049,143.796610119674,120.536492924218,766.841033505143,147.370278051865
150,NaN,71.938826766279,126.699826657279,136.936719193287,774.661865263654,129.434064659972
200,NaN,NaN,114.635386453634,148.253837313275,796.685985633635,113.612103483976
