t,Compound_2_Obs,Compound_7_Obs
0,0.0977898060121795,0.000976153450802741
5,0.0938180828058474,NaN
10,0.0966148004820839,0.0869035960783185
15,0.0995053802665491,NaN
20,0.103671363738073,0.0807012986009156
30,0.0976798458467092,NaN
35,0.0998400212809884,0.0747123016585451
45,0.0941600670351445,0.0668809961510566
55,0.099778582104706,NaN
60,NaN,0.0597281268315214
65,0.0991861059656277,NaN
75,NaN,0.0543971550560928
90,NaN,0.0461870543146269
100,NaN,0.0436308649705752
150,NaN,0.0255242468941808
200,NaN,0.017992022921008
