t,Compound_2_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,-0.0087165100660402,812.006453107856,-0.00947030501193902,0.0343195768818708
5.5,NaN,NaN,0.021125827799482,NaN
6.5,NaN,NaN,NaN,-0.0310877277094046
7,0.0304788703985346,NaN,NaN,NaN
8,NaN,793.829373611235,NaN,NaN
10,NaN,NaN,-0.0346576430920927,NaN
15,0.0199941750841055,822.841116908916,NaN,0.00487617704805158
20,NaN,NaN,-0.0132524732964665,-0.0183835291113398
25,-0.0095008771825511,795.78309516256,0.0193812175716284,NaN
30,NaN,NaN,NaN,0.0417030842705186
35,-0.037164999899974,NaN,0.000374222123380488,NaN
40,NaN,813.635531952645,NaN,0.0272409581544379
