t,pRAF_Obs,MEK_Obs,pMEK_Obs,pERK_Obs
0,1.57370520225433e-05,0.98325206632336,0.00196645522235866,0.0863712649843498
0.35,NaN,NaN,NaN,0.019205699313541
0.6,NaN,0.966534045914941,NaN,NaN
0.7,NaN,NaN,NaN,0.0176979368380148
1,NaN,0.938882027650364,NaN,0.019002818992017
1.5,7.0581213517867e-05,NaN,NaN,0.0179434209882689
2,NaN,0.99726265698843,0.0141711474585985,0.0183921443387279
2.5,NaN,1.00693936357505,NaN,0.0146247136308122
3,NaN,NaN,NaN,0.0152285843917734
3.5,6.67582385684092e-05,0.983488932264653,0.0131994401420796,NaN
4,NaN,0.895115680342758,NaN,NaN
5,6.06191247438068e-05,0.960532050996921,NaN,NaN
5.5,NaN,NaN,0.0130649374027101,NaN
6.5,NaN,1.03887921902001,NaN,NaN
7,6.07664877312777e-05,NaN,NaN,NaN
7.5,NaN,0.981834414297713,0.0134208802363779,NaN
9.5,5.96702957568664e-05,1.01545247112798,NaN,NaN
10,6.09934202263248e-05,NaN,0.0121769506229294,NaN
15,6.30287115523009e-05,NaN,0.0123527923603068,NaN
20,6.03217684214101e-05,NaN,0.0126529885104835,NaN
25,6.87649736771527e-05,NaN,0.0130276551662546,NaN
