t,pRAF_Obs,MEK_Obs,pMEK_Obs,pERK_Obs
0,9.86269744576211e-06,0.946885868736092,0.00196967687918384,0.084478253210269
0.45,NaN,0.964258250117365,NaN,NaN
0.95,NaN,1.03603550106577,NaN,NaN
1.5,NaN,0.983411934099745,NaN,NaN
2,NaN,0.975465781717396,0.00737474604229072,0.25953596822245
2.5,NaN,0.950442403816583,NaN,NaN
3,2.0856525197684e-05,NaN,NaN,NaN
3.5,NaN,0.955881168800696,NaN,0.154141123862084
4,NaN,0.95444056824545,NaN,NaN
4.5,NaN,NaN,0.00266631390148232,NaN
5,NaN,0.94550061962552,NaN,NaN
5.5,NaN,NaN,NaN,0.103060021802603
6,1.01131491215339e-05,0.956559947089403,NaN,NaN
6.5,NaN,NaN,0.0021858439110841,NaN
7.5,NaN,0.902106693282043,NaN,NaN
8,NaN,NaN,NaN,0.0790481742064203
9,9.14179118055548e-06,NaN,0.00203086264380991,NaN
10,NaN,NaN,0.00226287028074014,0.0869726534722472
15,9.46110051563479e-06,NaN,0.00192933664961835,0.0700776532961374
20,8.61716720257748e-06,NaN,0.0017317939766939,0.0972162288752496
25,NaN,NaN,0.00198158673354894,0.0764856004025643
