t,pRAF_Obs,MEK_Obs,pMEK_Obs,pERK_Obs
0,9.32291204867257e-06,0.952258931469463,0.00216976231312016,0.0846613968845585
0.55,NaN,0.948021375890243,NaN,NaN
1,NaN,0.985150728017794,NaN,NaN
1.5,4.27549875095537e-05,1.06317014711651,NaN,NaN
2.5,NaN,0.948620276854908,NaN,NaN
3,NaN,0.978576624411058,NaN,NaN
3.5,2.48032770615445e-05,NaN,NaN,0.0459722326961004
4,NaN,0.99313694897313,NaN,NaN
4.5,NaN,NaN,0.000976018423107182,NaN
5,NaN,0.971365189480125,NaN,NaN
5.5,2.37771416812465e-05,NaN,NaN,NaN
6,NaN,0.948446621256999,NaN,NaN
7.5,2.23078728162628e-05,0.946238738981899,NaN,0.0424609414035695
9,NaN,0.997208027944697,NaN,NaN
9.5,NaN,NaN,0.000880783813589811,NaN
10,2.15131427474296e-05,NaN,NaN,0.0410104113656688
15,2.12725039815384e-05,NaN,0.000910030177090021,NaN
20,2.08792352272443e-05,NaN,0.000813690109220847,0.0351248272413831
25,2.17266562651345e-05,NaN,NaN,NaN
