t,PTPAct_Obs,CISHnRNA4_Obs,CISHRNA_Obs
0,-0.000107370365958997,2.75616548813954e-05,-0.000327680903160485
70,NaN,0.000533883172891761,NaN
95,NaN,NaN,0.00222761456935843
100,0.00131336109290555,NaN,NaN
150,NaN,0.000444553284161646,NaN
200,0.00240516446470934,NaN,0.00336393768989246
250,NaN,0.000585334484560858,NaN
300,0.00287559721219466,0.000715580844536758,0.00397235555366965
400,NaN,0.00042533214594694,0.00282691379604979
450,0.00302217334835241,NaN,NaN
500,NaN,NaN,0.00351847471218245
550,0.00261829319510608,0.000593095110953163,NaN
650,NaN,NaN,0.00356668770269627
700,0.00332469141340338,NaN,NaN
800,NaN,NaN,0.00292701148955141
900,0.00265936150385999,NaN,NaN
1000,0.00360864918759826,NaN,0.00284777765610433
1500,0.00274615294981054,NaN,0.00324265922087315
