t,epo_level,CISHnRNA3_Obs
13,6.6667e-07,0.000120086656744357
13,6.6667e-07,0.000101502457459354
13,1.3333e-06,6.32261220518367e-05
13,1.3333e-06,3.8653063525212e-05
13,2.6667e-06,0.000116694270346499
13,2.6667e-06,0.000103562072581756
13,5.3333e-06,6.07818196501855e-05
13,5.3333e-06,6.11281298691851e-05
13,1.0667e-05,0.000127401830731916
13,1.0667e-05,0.000136281085080537
13,2.1333e-05,8.89530621865122e-05
13,2.1333e-05,8.08056061894962e-05
13,4.2667e-05,4.35167831197049e-05
13,4.2667e-05,3.91213454852468e-05
