t,CISHnRNA1_Obs,CISHnRNA5_Obs,CIS_Obs
0,3.63819616297208e-05,3.99072750770422e-05,0.0861911501716418
3,NaN,3.73635873172016e-05,NaN
3.5,2.10801068955514e-05,NaN,NaN
6,NaN,4.17123255130214e-05,NaN
7.5,2.15871282880528e-05,NaN,NaN
9.5,NaN,3.19857527140915e-05,NaN
10,1.66743265594337e-05,NaN,NaN
15,1.7264508008531e-05,2.37919393264547e-05,NaN
20,1.66170024017751e-05,1.32787149864404e-05,0.0980216846997621
25,NaN,2.02569172215166e-05,NaN
30,1.49742934477378e-05,1.4239893721204e-05,NaN
35,NaN,1.93920278186822e-05,0.0814698058556523
45,NaN,1.92512606641995e-05,NaN
55,NaN,2.50142101552694e-05,0.0675709420421462
60,NaN,1.86454267903446e-05,NaN
80,NaN,NaN,0.0854951090828795
100,NaN,NaN,0.070870040531527
150,NaN,NaN,0.0662955568673356
200,NaN,NaN,0.0455952233906471
250,NaN,NaN,0.0335028224319657
300,NaN,NaN,0.0341506742982736
