t,PTP_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,52.877951201077,0.147767462876338,0.0279892384975892,3.67561250693093e-05,2.75407947300213e-05,0.00309798821752371
8,42.4687343680107,NaN,NaN,NaN,NaN,NaN
10,NaN,1.19289711181585,0.583596400905208,NaN,NaN,0.00269876481308663
15,40.4938933425645,NaN,NaN,0.000166704507541153,NaN,NaN
20,NaN,NaN,0.749689347460158,NaN,0.000158516023613616,0.00412357630267493
25,35.0182322833893,1.23541982793917,NaN,NaN,NaN,NaN
30,NaN,NaN,0.738043060291931,NaN,NaN,NaN
35,43.0568266165041,NaN,NaN,0.000227860151138086,NaN,0.00323486443069098
40,NaN,0.896127880907291,NaN,NaN,0.000221865522485325,NaN
45,NaN,NaN,0.428624481543387,NaN,NaN,0.00291192901449562
50,45.4718626603528,NaN,NaN,0.000152983689340291,NaN,NaN
55,NaN,0.623804684978767,0.348492620436273,NaN,NaN,NaN
60,32.6450845424425,NaN,NaN,NaN,NaN,0.00316110038932952
65,NaN,NaN,NaN,NaN,0.000148768277154692,NaN
70,NaN,0.624487821285637,0.356413438997116,0.000118367521361246,NaN,NaN
80,53.7407171460565,NaN,NaN,NaN,NaN,0.00241408831873443
85,NaN,0.407045659086017,NaN,NaN,NaN,NaN
90,NaN,NaN,0.315444741820247,NaN,0.000114969952171892,NaN
95,NaN,NaN,NaN,0.000114073749859749,NaN,NaN
100,39.2199108127089,0.424802254184578,0.23062190297537,0.000103774800247997,0.000103666990312092,0.00270355812098902
150,NaN,0.318758032103754,0.186331434944971,6.12119109489087e-05,9.29361285724238e-05,0.00242323205808519
200,NaN,0.267158303284374,0.167814526785791,7.24974735095375e-05,6.67372920537615e-05,NaN
250,NaN,0.267895242740288,NaN,7.16353144647391e-05,6.30964204104445e-05,NaN
300,NaN,NaN,NaN,NaN,6.99405062854538e-05,NaN
